Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MG711732.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6936, complete genome"
MG711733.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K7228, complete genome"
MG711734.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K7554, complete genome"
MG711735.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K7795, complete genome"
MG711736.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K8176, complete genome"
MG711737.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K8302, complete genome"
MG711738.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K911, complete genome"
MG711739.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K936, complete genome"
MG711740.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate N1733, complete genome"
MG711741.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1668,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate N557, complete genome"
MG711743.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate N821, complete genome"
MG711744.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate R757, complete genome"
MG711745.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate R96H, complete genome"
MG711746.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S1086, complete genome"
MG711747.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S1273, complete genome"
MG711748.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1685,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3046, complete genome"
MG711749.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3141, complete genome"
MG711750.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3157, complete genome"
MG711751.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3277, complete genome"
MG711752.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3327, complete genome"
MG711753.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S3446, complete genome"
MG711754.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate S3848, complete genome"
MG711755.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate S3893, complete genome"
MG711756.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate S3925, complete genome"
MG711757.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate S4268, complete genome"
MG711758.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate S4656, complete genome"
MG711759.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate S4910, complete genome"
MG711760.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate S5018, complete genome"
MG711761.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate S5154, complete genome"
MG711762.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5299, complete genome"
MG711763.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5339, complete genome"
MG711764.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5404, complete genome"
MG711765.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5413, complete genome"
MG711766.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5486, complete genome"
MG711767.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1685,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5519, complete genome"
MG711768.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5538, complete genome"
MG711769.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5570, complete genome"
MG711770.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S5659, complete genome"
MG711771.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S6047, complete genome"
MG711772.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S6095, complete genome"
MG711773.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate S6334, complete genome"
MG711774.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1685,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S993, complete genome"
MG711775.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate S996, complete genome"
MG711776.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE08D, complete genome"
MG711777.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1687,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE1032A, complete genome"
MG711778.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1653,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE1048A2, complete genome"
MG711779.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE10D, complete genome"
MG711780.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1686,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE22D, complete genome"
MG711781.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE238, complete genome"
MG711783.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE446, complete genome"
MG711784.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1684,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE574A, complete genome"
MG711785.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE584D, complete genome"
MG711786.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE586D, complete genome"
MG711787.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE635D, complete genome"
MG711788.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE752A, complete genome"
MG711789.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUE876A, complete genome"
MG711790.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUK243, complete genome"
MG711791.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1666,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUK74, complete genome"
MG711793.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUS325, complete genome"
MG711794.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUS363, complete genome"
MG711795.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2011,,"Hepatitis delta virus isolate SUS380, complete genome"
MG711797.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1684,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2010,,"Hepatitis delta virus isolate U20635, complete genome"
MG711798.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2010,,"Hepatitis delta virus isolate U20694, complete genome"
MG711799.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2010,,"Hepatitis delta virus isolate U20765, complete genome"
MG711800.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1685,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2012,,"Hepatitis delta virus isolate U22731, complete genome"
MG711801.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate U22973, complete genome"
MG711802.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate U23181, complete genome"
MG711803.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate U24119, complete genome"
MG711804.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate V190, complete genome"
